Species,Forward_Fisher_Stat,Forward_p_value,Forward_N_Participants,Backward_Fisher_Stat,Backward_p_value,Backward_N_Participants,Forward_FDR_p,Backward_FDR_p
Lawsonibacter asaccharolyticus,299.87863436246903,1.2077896019399074e-18,57,245.8535237408825,1.0985889943754161e-11,57,1.3285685621338981e-17,1.2084478938129576e-10
Escherichia coli,293.70587588022613,8.353018545134086e-18,57,192.11754405268664,6.588432893892938e-06,57,4.5941601998237473e-17,1.207879363880372e-05
Haemophilus parainfluenzae,282.60413508976814,2.5451865040098824e-16,57,186.87937094208345,1.993019919381287e-05,57,9.332350514702903e-16,3.131888444742022e-05
Phascolarctobacterium faecium,204.63154862747598,4.014717164470228e-07,57,177.68940194160388,0.00012578177334025763,57,4.416188880917251e-07,0.0001383599506742834
Dialister invisus,266.1228048320969,3.4715441348199824e-14,57,204.85665372111643,3.810508448852325e-07,57,9.546746370754951e-14,2.095779646868779e-06
Bifidobacterium longum,222.17092169620844,5.732151975603701e-09,57,192.29829712824082,6.337068303975152e-06,57,9.007667390234387e-09,1.207879363880372e-05
Alistipes finegoldii,229.70904207389077,8.309033309211235e-10,57,202.186082200619,7.04951071432181e-07,57,1.523322773355393e-09,2.5848205952513304e-06
Akkermansia muciniphila,207.0818136312568,2.2666882528994113e-07,57,181.38568792968167,6.0907146876986415e-05,57,2.8670415928778134e-07,7.444206840520562e-05
Paraprevotella xylaniphila,195.37471029253294,3.2457615988112498e-06,57,164.42490215260884,0.0014062548260259735,57,3.2457615988112498e-06,0.0014062548260259735
Faecalibacterium prausnitzii,206.9357302241635,2.3457613032636658e-07,57,185.42785553009227,2.689248076207297e-05,57,2.8670415928778134e-07,3.697716104785033e-05
Roseburia faecis,240.43663416731107,4.8205382184184156e-11,57,194.64086903904595,3.811944638542608e-06,57,1.0605184080520515e-10,1.0482847755992172e-05
