Predictor,Target,Lag_Weeks,MCI_Correlation,p_value,FDR_adjusted_p
Akkermansia muciniphila,Akkermansia muciniphila,2,0.6347366142819866,3.09389320903994e-140,8.910412442035028e-138
fecalcal,fecalcal,2,0.6325173918939985,1.2119449108101441e-138,1.7452006715666075e-136
Paraprevotella xylaniphila,Paraprevotella xylaniphila,2,0.6130513220545696,1.1591109574735417e-128,1.1127465191746e-126
Alistipes finegoldii,Alistipes finegoldii,2,0.6062642080824343,6.359581819507136e-125,4.578898910045138e-123
Dialister invisus,Dialister invisus,2,0.6052021862649717,1.4135372154797524e-124,8.141974361163374e-123
Phascolarctobacterium faecium,Phascolarctobacterium faecium,2,0.6029575857268192,3.122892950691067e-123,1.4989886163317122e-121
Haemophilus parainfluenzae,Haemophilus parainfluenzae,2,0.5701329671745949,1.8173337735400917e-107,7.477030382564949e-106
Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,2,0.5683457447816689,2.552233196503044e-106,9.188039507410959e-105
Escherichia coli,Escherichia coli,2,0.5668771338355381,7.875669317336645e-106,2.5202141815477263e-104
Roseburia faecis,Roseburia faecis,2,0.562531408824147,3.1353295906914964e-104,9.02974922119151e-103
Bifidobacterium longum,Bifidobacterium longum,2,0.5194333521253791,2.3949022545475684e-86,6.270289539179088e-85
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,2,0.40844794518225197,6.855751503972858e-51,1.645380360953486e-49
Faecalibacterium prausnitzii,fecalcal,2,-0.3150151610379798,8.29399924670481e-30,1.8374398331161428e-28
fecalcal,fecalcal,4,0.19083991242391812,1.4675786563209312e-11,3.0190189501459154e-10
Bifidobacterium longum,Bifidobacterium longum,4,0.1799838950013542,1.8806323303632821e-10,3.6108140742975015e-09
Alistipes finegoldii,fecalcal,2,-0.14430935152334434,3.6031393397387026e-07,6.485650811529665e-06
Faecalibacterium prausnitzii,fecalcal,4,0.14400990354430943,3.8530738704344495e-07,6.527560439324244e-06
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,4,0.1432652985090468,4.2878589539442947e-07,6.8605743263108715e-06
Faecalibacterium prausnitzii,Escherichia coli,2,-0.13425174678059615,2.194639003016289e-06,3.326610699308901e-05
Haemophilus parainfluenzae,fecalcal,2,0.1232093433004319,1.4343431108918774e-05,0.00020654540796843034
Faecalibacterium prausnitzii,Paraprevotella xylaniphila,2,0.11778333903852947,3.3324832544202084e-05,0.00045702627489191427
fecalcal,Alistipes finegoldii,2,-0.10954288366467646,0.00011610762776535461,0.0015199543998373694
Roseburia faecis,fecalcal,2,-0.1022109759065979,0.00032279431559633113,0.004041946212684494
Paraprevotella xylaniphila,Faecalibacterium prausnitzii,4,0.08584676012065576,0.0025327929582294323,0.030393515498753187
Haemophilus parainfluenzae,Phascolarctobacterium faecium,4,-0.08423894876287225,0.0030620396663509322,0.03527469695636274
Alistipes finegoldii,Bifidobacterium longum,2,-0.08357337125054765,0.0033038058484476515,0.036596003244343214
Alistipes finegoldii,Alistipes finegoldii,4,0.08184313625077028,0.004000849217278956,0.04267572498430886
Roseburia faecis,Bifidobacterium longum,2,-0.07949970466885574,0.005165081162722353,0.05312654910228706
Escherichia coli,Faecalibacterium prausnitzii,2,-0.07835756494660576,0.005866801590494568,0.05632129526874785
Bifidobacterium longum,Faecalibacterium prausnitzii,2,-0.07850612967976417,0.005793343586876875,0.05632129526874785
Faecalibacterium prausnitzii,Lawsonibacter asaccharolyticus,2,0.07755023793950147,0.006440896078758619,0.05983800228008007
Lawsonibacter asaccharolyticus,Akkermansia muciniphila,2,-0.07503554643707455,0.008419219007516734,0.07347682042923695
Faecalibacterium prausnitzii,Bifidobacterium longum,2,-0.07510232880119593,0.008308375391982472,0.07347682042923695
fecalcal,Paraprevotella xylaniphila,2,0.07455523670168597,0.008820598651489106,0.07471565916555478
Bifidobacterium longum,fecalcal,2,-0.07360933327348537,0.00975029838445477,0.08023102670637068
Alistipes finegoldii,Escherichia coli,2,-0.0730114160002941,0.010330876817706227,0.08041331144592956
Phascolarctobacterium faecium,Paraprevotella xylaniphila,4,-0.0731418910591961,0.010133640903737789,0.08041331144592956
fecalcal,Dialister invisus,4,0.07267029533429278,0.010694085577507782,0.08104991174532214
Roseburia faecis,fecalcal,4,0.07238678774217266,0.011004533735806394,0.08126424912595491
Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,4,0.07120873818073396,0.012453141125584887,0.08966261610421118
Haemophilus parainfluenzae,fecalcal,4,-0.0676825591383022,0.0175032862388349,0.12294991309230369
Bifidobacterium longum,Paraprevotella xylaniphila,2,0.06528397774377515,0.021769185049027664,0.1492744117647611
Bifidobacterium longum,Akkermansia muciniphila,2,0.06396890563147212,0.02463072043109709,0.16496854614316192
Paraprevotella xylaniphila,Paraprevotella xylaniphila,4,0.06241513040772313,0.02815467847884021,0.1842851682251359
