Comparison,Species,Mean_Group1,Mean_Group2,Mean_Difference,U_Statistic,p_value,FDR_adjusted_p,Cliffs_Delta
CD_vs_Healthy,Bacteroides vulgatus,9.208927321486268,8.215169912350596,0.9937574091356716,93118.0,4.3134165516963505e-06,9.705187241316789e-06,0.19866897514948278
CD_vs_Healthy,Bacteroides uniformis,7.896488562197092,7.883449705179283,0.013038857017809491,90033.0,0.00023597463178459514,0.0004382386018856767,0.1589570635068771
CD_vs_Healthy,Bacteroides thetaiotaomicron,4.385135649434572,3.445700609561753,0.9394350398728188,91162.0,5.989693088473285e-05,0.0001148842772707171,0.17349020718418728
CD_vs_Healthy,Faecalibacterium prausnitzii,8.386967155088854,8.669682501992032,-0.2827153469031778,91915.0,2.26075949075568e-05,4.483201024040925e-05,0.18318326049598044
CD_vs_Healthy,Roseburia faecis,5.260186096930532,5.622710139442231,-0.3625240425116987,82457.0,0.1553113210799,0.18542269965661531,0.061434391674014766
CD_vs_Healthy,Bacteroides caccae,5.35985439256866,5.858057677290836,-0.4982032847221767,80473.0,0.40641555666630935,0.4322783648178018,0.03589519144745745
CD_vs_Healthy,Clostridium clostridioforme,-0.5160589289176092,-2.6581535458167327,2.1420946168991235,100691.0,7.344471632233652e-12,4.09191990938732e-11,0.29615302924006714
CD_vs_Healthy,Bacteroides fragilis,2.5680681211631664,0.9068770717131475,1.6611910494500188,92429.0,1.1308662942727279e-05,2.281230283274296e-05,0.1897997670062883
CD_vs_Healthy,Fusicatenibacter saccharivorans,4.1015146074313416,5.788079549800797,-1.686564942369455,70715.0,0.037963635392943194,0.05047437887470856,-0.08971545160231453
CD_vs_Healthy,Flavonifractor plautii,6.746316996768981,5.068256625498008,1.6780603712709734,101441.0,1.5039560622632673e-12,9.261203120252752e-12,0.3058074648095823
CD_vs_Healthy,Dialister invisus,1.2249410080775442,0.4201883784860556,0.8047526295914886,89314.0,0.0005343587682772698,0.0009194114101241259,0.14970167794090194
CD_vs_Healthy,Ruminococcus bicirculans,-0.14536745072697912,1.8491667091633461,-1.9945341598903252,68816.0,0.008272606686207318,0.012098687278578203,-0.11416048246432686
CD_vs_Healthy,Blautia sp CAG 257,-2.337568171243942,-3.034256896414343,0.696688725170401,98672.0,4.1159994779219786e-10,1.7198997818459696e-09,0.2701632886869323
CD_vs_Healthy,Ruminococcus gnavus,2.350214205169628,0.28641232270916317,2.063801882460465,97169.0,6.552983251159538e-09,2.12971955662685e-08,0.25081579980562396
CD_vs_Healthy,Dorea longicatena,2.8627939386106624,4.044708035856574,-1.1819140972459112,72705.0,0.13816484389402237,0.16760932963276162,-0.06409901589120093
CD_vs_Healthy,Eubacterium hallii,0.8440089030694669,2.6272357968127484,-1.7832268937432816,62737.0,8.548847584074204e-06,1.754763451467863e-05,-0.19241290090043706
CD_vs_Healthy,Clostridium bolteae,1.34224063812601,1.3403572828685257,0.001883355257484176,82308.0,0.16862076412953364,0.19728629403155437,0.0595163771408711
CD_vs_Healthy,Eubacterium sp CAG 38,0.07735329240710828,0.8047542828685258,-0.7274009904614175,77024.0,0.8441902391717764,0.8588718085486768,-0.008502339591552999
CD_vs_Healthy,Clostridium saccharolyticum,-1.9069691599353795,-3.1179172071713146,1.210948047235935,93357.0,3.058533847240085e-06,7.016636473080194e-06,0.2017455219509683
CD_vs_Healthy,Intestinimonas butyriciproducens,-0.8972496090468496,-1.1748987569721114,0.27764914792526185,85560.0,0.019025129966604673,0.026187531836385256,0.10137800977028877
CD_vs_Healthy,Anaerostipes hadrus,4.329771429725363,5.919632470119523,-1.58986104039416,75993.0,0.6145773364641929,0.6420138246992014,-0.021773970354446504
