Species,Mean_Active_Flare,Mean_Remission,Mean_Difference,U_Statistic,p_value,Cliffs_Delta,FDR_adjusted_p
Lawsonibacter asaccharolyticus,-1.9544931594594597,0.8821428568904595,-2.836636016349919,70296.0,1.7360930398817067e-17,-0.32866010887212305,2.0312288566615965e-15
Dialister invisus,2.425338718918919,-0.5601108409893993,2.9854495599083184,137366.0,6.721436793552848e-16,0.3118708814821889,2.621360349485611e-14
Haemophilus parainfluenzae,2.041637605405405,-0.8619020565371024,2.9035396619425073,137526.0,4.856165376337828e-16,0.31339891127876984,2.621360349485611e-14
Faecalibacterium prausnitzii,9.737872943243243,8.441388469964664,1.2964844732785785,135153.0,5.143829747763403e-14,0.2907363193582275,1.5045702012207952e-12
Escherichia coli,3.449278459459459,0.6288713480565372,2.820407111402922,133745.0,6.969745032582433e-13,0.27728965714831433,1.6309203376242893e-11
Bifidobacterium longum,4.203209405405405,2.0039279240282686,2.199281481377137,133222.0,1.7802866171837112e-12,0.2722949097507401,3.471558903508237e-11
Eisenbergiella massiliensis,0.7271946513513511,-1.3588224540636042,2.0860171054149554,132678.0,4.640312417000847e-12,0.2670996084423647,7.755950754129987e-11
Intestinimonas butyriciproducens,-2.1086097324324324,0.3347392667844521,-2.4433489992168846,77554.0,1.8759741606438827e-11,-0.2593448572247159,2.7436122099416783e-10
Veillonella parvula,0.9144287594594593,-1.3616955406360423,2.2761243000955016,131484.0,3.57023225176697e-11,0.25569668608537865,4.6413019272970605e-10
Streptococcus salivarius,-0.8749756702702702,-2.6158842809187277,1.7409086106484575,131069.0,7.112220354754775e-11,0.25173335880049663,8.321297815063087e-10
Eubacterium ramulus,-1.1676486918918918,-2.634875286219081,1.4672265943271892,130762.0,1.1763566743834966e-10,0.2488014516283068,1.2512157354806282e-09
Veillonella infantium,-1.7120276621621622,-3.6088907597173145,1.8968630975551524,130264.0,2.6291978538310894e-10,0.24404545888644824,2.5634679074853122e-09
Bacteroides fragilis,4.052244045945946,1.6089641413427562,2.4432799046031892,129834.0,5.202726598673745e-10,0.2399388788081367,4.68245393880637e-09
Bacteroides eggerthii,-2.8991178945945943,-4.6701101590106004,1.770992264416006,128945.0,2.0597798964905846e-09,0.23144876325088348,1.721387484924274e-08
Veillonella dispar,-0.29926002702702703,-2.3837432791519433,2.084483252124916,128377.0,4.840670276491535e-09,0.22602425747302068,3.775722815663398e-08
Bilophila wadsworthia,1.6503771999999999,-0.0870042031802118,1.7373814031802117,128222.0,6.091420173129943e-09,0.2245439786075829,4.454351001601271e-08
Phascolarctobacterium faecium,-1.9545721918918917,0.6396145494699647,-2.5941867413618565,81659.0,1.196484640969651e-08,-0.2201413427561838,8.23462958784995e-08
