Species,Spearman_Rho,p_value,FDR_adjusted_p
Escherichia coli,0.2719594943174716,1.424285564056218e-21,1.6664141099457748e-19
Dialister invisus,0.26806551189488514,5.538365539672961e-21,3.239943840708682e-19
Lawsonibacter asaccharolyticus,-0.26687593526151304,8.348979775949395e-21,3.256102112620264e-19
Haemophilus parainfluenzae,0.25279431383678624,9.206271822300036e-19,2.6928345080227604e-17
Bifidobacterium longum,0.2517995385702377,1.2696895565004344e-18,2.9710735622110165e-17
Phascolarctobacterium faecium,-0.2476606902663058,4.764568331964374e-18,9.29090824733053e-17
Dielma fastidiosa,0.23155691807605908,6.506042888104749e-16,1.0874385970117937e-14
Clostridium symbiosum,0.2301334391698244,9.875231614449608e-16,1.4442526236132552e-14
Streptococcus salivarius,0.22237005992966896,9.156559626612843e-15,1.1903527514596695e-13
Veillonella atypica,0.21441584717314222,8.238129317517966e-14,9.638611301496021e-13
Faecalibacterium prausnitzii,0.21048289658454097,2.365526830165438e-13,2.5160603557214204e-12
Streptococcus parasanguinis,0.20971425650565695,2.9000674293910055e-13,2.8275657436562305e-12
Eisenbergiella massiliensis,0.20821111923464658,4.309730297697489e-13,3.87875726792774e-12
Bacteroides fragilis,0.20544199730229648,8.871059126020482e-13,7.413670841031402e-12
Veillonella dispar,0.2032160798369691,1.5732519772766277e-12,1.2271365422757698e-11
Alistipes finegoldii,-0.20092261922474788,2.819671560327084e-12,2.06188482848918e-11
Veillonella infantium,0.1910426357229542,3.2177539223358023e-11,2.2145718171369931e-10
Veillonella parvula,0.188564261081926,5.809251016276497e-11,3.7760131605797226e-10
Clostridium innocuum,0.1852885171157012,1.2529576559111893e-10,7.715581354821534e-10
Streptococcus thermophilus,0.1815801590604295,2.941651500889558e-10,1.7208661280203916e-09
Erysipelatoclostridium ramosum,0.18053727809160766,3.727750725171171e-10,2.0768896897382237e-09
Bifidobacterium pseudocatenulatum,0.1798038356445383,4.3996821863177297e-10,2.339830980905338e-09
Collinsella intestinalis,0.17274704590331927,2.0926134553778227e-09,1.0645033664313272e-08
Clostridium spiroforme,0.16824532583655363,5.475158898711891e-09,2.5634733942998453e-08
Anaerostipes hadrus,0.16824329168537241,5.477507252777447e-09,2.5634733942998453e-08
Veillonella sp T11011 6,0.16805261243443453,5.702039906378684e-09,2.565917957870408e-08
Haemophilus sp HMSC71H05,0.16655609063922341,7.803197843662026e-09,3.381385732253545e-08
Ruminococcus gnavus,0.16034272024888374,2.785338332359005e-08,1.1638735174500128e-07
Bifidobacterium bifidum,0.15853283871985474,3.998562077964872e-08,1.5604240724418362e-07
Akkermansia muciniphila,-0.15852966041877856,4.001087365235477e-08,1.5604240724418362e-07
Gemmiger formicilis,-0.15074193206874084,1.8099987346403219e-07,6.831285546868312e-07
Barnesiella intestinihominis,-0.14786556337199683,3.10140298379861e-07,1.1339504659513667e-06
Eubacterium ramulus,0.14377906127597528,6.550150030009128e-07,2.322325919730509e-06
Bacteroides vulgatus,0.14186345411147802,9.234274782191948e-07,3.177676910342523e-06
Ruminococcus bromii,-0.1401507992688021,1.2505687422332083e-06,4.180472652608154e-06
Bacteroides massiliensis,0.13847998982185414,1.675334493128125e-06,5.40245104240146e-06
Intestinibacter bartlettii,0.13836739399324294,1.708467423665419e-06,5.40245104240146e-06
Roseburia faecis,-0.13820791941069,1.7564732170725354e-06,5.408088589407543e-06
Clostridium bolteae,0.13671120747436316,2.274778127413818e-06,6.824334382241455e-06
Odoribacter splanchnicus,-0.1334519232711356,3.957390574521987e-06,1.1575367430476812e-05
Parabacteroides goldsteinii,0.132723123137344,4.4711365503760836e-06,1.27029536511514e-05
Parabacteroides distasonis,0.1326052105326295,4.5600346440030665e-06,1.27029536511514e-05
Coprococcus catus,0.12981473539422897,7.230926337642489e-06,1.967484608149235e-05
Flavonifractor plautii,0.12872040869712026,8.641851037680435e-06,2.2979467532013885e-05
Roseburia hominis,-0.128039000339526,9.649276745898222e-06,2.5088119539335374e-05
Intestinimonas butyriciproducens,-0.1223764615862465,2.3611645352715465e-05,6.0055706657993684e-05
Bacteroides uniformis,0.11703932244573398,5.299940065711368e-05,0.00013193467823153832
Alistipes indistinctus,0.11634278531295245,5.8751473422537054e-05,0.00014320671646743407
Sellimonas intestinalis,0.11334564471962195,9.093548692586109e-05,0.00021713167286379077
Bacteroides intestinalis,0.1131287511076944,9.381763261700159e-05,0.00021953326032378372
Alistipes shahii,-0.11147293769590957,0.00011883556006939883,0.0002726227554533267
Clostridium leptum,-0.10813050801159572,0.00018964200860703605,0.00042669451936583114
Ruminococcus lactaris,0.10370837814580952,0.0003449897577336559,0.0007615811632988253
Oscillibacter sp 57 20,0.10324319970002199,0.0003669188194077098,0.0007949907753833712
Bacteroides cellulosilyticus,0.10186560937890005,0.00043973500229640245,0.0009354362776123471
Paraprevotella xylaniphila,0.09782797713718283,0.0007381533124072078,0.0015422131705650592
Blautia sp CAG 257,0.09701951505104738,0.0008169797281265812,0.001676958389312456
Clostridium bolteae CAG 59,0.09596416010752166,0.0009316288281927101,0.001879320222388743
Acidaminococcus intestini,0.09159765548699965,0.0015824632375527842,0.003138105064299589
Proteobacteria bacterium CAG 139,0.0900072255060397,0.0019089636415449722,0.003722479101012696
Eubacterium siraeum,-0.08951328911339387,0.002022292863867948,0.003878824017582785
Dorea longicatena,0.08791450009847937,0.0024327201676110953,0.004590778380814486
Eubacterium rectale,0.08681857334594412,0.0027566083180043384,0.005119415447722343
Bacteroides thetaiotaomicron,-0.08639034685283128,0.0028935155239595677,0.005289708067238584
Clostridium citroniae,0.07776420768151798,0.007352613022663368,0.013234703440794061
Butyricimonas synergistica,0.07641408737026305,0.008444462489952094,0.014969728959460532
Prevotella copri,0.07514376892651257,0.009601696955841805,0.01676714244527599
Collinsella aerofaciens,0.07490729077966742,0.009832083717304593,0.016916967572421136
Ruminococcus bicirculans,-0.07443548609537598,0.010306483034059786,0.017476210362101376
Anaeromassilibacillus sp An250,0.07419590111445157,0.010555088485879728,0.017642076469256116
Clostridium clostridioforme,0.07295493615388404,0.011929959748851263,0.01965922944529011
Bilophila wadsworthia,0.0717912115371113,0.013360976065384058,0.02171158610624909
Ruthenibacterium lactatiformans,-0.06951325280717233,0.01660652584402653,0.026615938681521973
Alistipes putredinis,0.06660179051809205,0.02174726911431387,0.03438419576182058
Clostridium sp CAG 58,-0.0663361920799983,0.022278732864852557,0.03475482326916998
Bacteroides eggerthii,0.06476380756718919,0.02566188063689992,0.03950578992785909
Turicimonas muris,0.06273162954849204,0.030684827471436735,0.046624997586468805
Fusicatenibacter saccharivorans,-0.06191066478710695,0.03294124191845544,0.04941186287768316
Hungatella hathewayi,0.060193249241402014,0.038123414552974404,0.05646125952782285
Ruminococcus torques,0.0592195294127416,0.04135795992365952,0.06048601638835204
Coprococcus comes,0.05734881348939176,0.048225588319963646,0.06965918312883639
Dorea formicigenerans,0.056682498031302604,0.05089229901955661,0.07261462177180639
Eubacterium ventriosum,-0.052653841885273917,0.06976668259017203,0.0983458055789172
Roseburia intestinalis,-0.05236886699121939,0.07129492998153354,0.09930365247427886
Butyricimonas virosa,-0.05148195913836697,0.07622736537124729,0.10492472645218745
Blautia obeum,0.04938953867410541,0.08896994979521362,0.12104051309348829
Eubacterium sp CAG 38,-0.048244519638036124,0.09663751103429548,0.1299607907012939
Lachnospira pectinoschiza,-0.047825509607682636,0.09957195894025687,0.13238544540920516
Monoglobus pectinilyticus,0.04282940111467537,0.14028846454208,0.18442416125194785
Bacteroides faecis CAG 32,-0.04140123325677597,0.15401285630129063,0.2002167131916778
Clostridium sp CAG 242,0.04112409361171577,0.15679039783142087,0.20158765435468398
Blautia wexlerae,0.03695345586577895,0.2032858575526709,0.2585265797137228
Agathobaculum butyriciproducens,-0.033026040894942495,0.25555789055034217,0.3215083139181724
Bacteroides faecis,0.032652166060375444,0.26098112624709435,0.3248382103288302
Eisenbergiella tayi,0.031566657605953535,0.27717524854071907,0.3413632008343593
