Species,Lag,Feature_Type,Spearman_Rho,p_value,FDR_adjusted_p
Lawsonibacter asaccharolyticus,t_plus_2,Abundance,-0.2677738975870707,5.431250963302639e-20,6.354563627064087e-18
Escherichia coli,t_plus_2,Abundance,0.263808207807368,1.9785499237719004e-19,1.1574517054065616e-17
Haemophilus parainfluenzae,t_plus_2,Abundance,0.25699007974090493,1.7363911050947954e-18,6.771925309869703e-17
Lawsonibacter asaccharolyticus,t_plus_4,Abundance,-0.2640184942571768,1.5418009213763053e-18,1.803907078010277e-16
Dialister invisus,t_plus_2,Abundance,0.25227068842667066,7.5239395557246e-18,2.2007523200494454e-16
Bifidobacterium longum,t_plus_2,Abundance,0.25004758764828716,1.485502812030508e-17,3.4760765801513886e-16
Phascolarctobacterium faecium,t_plus_2,Abundance,-0.2484117220604547,2.4401459699511897e-17,4.75828464140482e-16
Haemophilus parainfluenzae,t_plus_4,Abundance,0.2537314197896398,3.388765968936346e-17,1.5967991385657077e-15
Escherichia coli,t_plus_4,Abundance,0.25308658718482835,4.0943567655530964e-17,1.5967991385657077e-15
Phascolarctobacterium faecium,t_plus_4,Abundance,-0.25205692685085307,5.5318661425711734e-17,1.6180708467020681e-15
Bifidobacterium longum,t_plus_4,Abundance,0.24452351574200729,4.798767344917458e-16,1.1229115587106852e-14
Dialister invisus,t_plus_4,Abundance,0.23957497850190218,1.9074071946378e-15,3.7194440295437105e-14
Dielma fastidiosa,t_plus_2,Abundance,0.23031620589785295,4.65996549110058e-15,7.788799463696683e-14
Dielma fastidiosa,t_plus_4,Abundance,0.22518371473992274,8.867541897564723e-14,1.4821462885929606e-12
Clostridium symbiosum,t_plus_2,Abundance,0.21761597793428955,1.438799337166659e-13,2.1042440306062382e-12
Streptococcus salivarius,t_plus_2,Abundance,0.21466723549451452,3.0971037823681813e-13,4.026234917078636e-12
Streptococcus parasanguinis,t_plus_2,Abundance,0.21211956578827676,5.953103935407669e-13,6.9651316044269724e-12
Veillonella atypica,t_plus_2,Abundance,0.20843930287267817,1.507883387298378e-12,1.6038396028537293e-11
Clostridium symbiosum,t_plus_4,Abundance,0.21232390338337612,2.2087910123742388e-12,3.230356855597324e-11
Faecalibacterium prausnitzii,t_plus_2,Abundance,0.20327704087123222,5.395110430388931e-12,5.030516911452408e-11
Eisenbergiella massiliensis,t_plus_2,Abundance,0.20313176327543853,5.58946323494712e-12,5.030516911452408e-11
Veillonella infantium,t_plus_2,Abundance,0.20063952953848305,1.0215238443835663e-11,8.537020699491233e-11
Veillonella dispar,t_plus_2,Abundance,0.19814757514944742,1.8523551247907635e-11,1.4448369973367955e-10
Streptococcus parasanguinis,t_plus_4,Abundance,0.20294175919413127,2.0331841459850546e-11,2.4808363693837854e-10
Streptococcus salivarius,t_plus_4,Abundance,0.20275989497792735,2.120372965285287e-11,2.4808363693837854e-10
Veillonella infantium,t_plus_4,Abundance,0.20058174424283098,3.495342923192586e-11,3.7177738364866597e-10
Alistipes finegoldii,t_plus_2,Abundance,-0.1931414978207839,5.981743752560627e-11,4.374150119059958e-10
Bacteroides fragilis,t_plus_2,Abundance,0.1917241948792923,8.289195224429196e-11,5.704916713283623e-10
Faecalibacterium prausnitzii,t_plus_4,Abundance,0.19779297399870444,6.574434965508342e-11,6.410074091370634e-10
Eisenbergiella massiliensis,t_plus_4,Abundance,0.19689918434446327,8.034297337401733e-11,7.102850329617404e-10
Veillonella atypica,t_plus_4,Abundance,0.19664773640583316,8.49913714655074e-11,7.102850329617404e-10
Veillonella dispar,t_plus_4,Abundance,0.19187306323191214,2.438266570691603e-10,1.901847925139451e-09
Alistipes finegoldii,t_plus_4,Abundance,-0.18707596717109154,6.843235074517435e-10,5.004115648240873e-09
Clostridium innocuum,t_plus_2,Abundance,0.1776178962622371,1.8632759516414325e-09,1.211129368566931e-08
Veillonella parvula,t_plus_2,Abundance,0.17583163308987157,2.716037630899197e-09,1.6052141184920235e-08
Erysipelatoclostridium ramosum,t_plus_2,Abundance,0.17578290147066492,2.743955758106023e-09,1.6052141184920235e-08
Bacteroides fragilis,t_plus_4,Abundance,0.17807425014008987,4.415193046781392e-09,3.0386916851377815e-08
Akkermansia muciniphila,t_plus_4,Abundance,-0.17715815036579569,5.309767252812163e-09,3.4513487143279057e-08
Streptococcus thermophilus,t_plus_2,Abundance,0.17167104184957394,6.436370912772106e-09,3.585978079973031e-08
Akkermansia muciniphila,t_plus_2,Abundance,-0.17133028360765507,6.901264417452808e-09,3.670217894736266e-08
Veillonella sp T11011 6,t_plus_2,Abundance,0.16938908204754738,1.0240302666407342e-08,5.209197443346343e-08
Gemmiger formicilis,t_plus_4,Abundance,-0.17431591348497047,9.354241988600384e-09,5.760243750874973e-08
Clostridium innocuum,t_plus_4,Abundance,0.17404958370439252,9.859338174946525e-09,5.767712832343717e-08
Bifidobacterium pseudocatenulatum,t_plus_2,Abundance,0.16809259082731956,1.3294854231262698e-08,6.481241437740566e-08
Streptococcus thermophilus,t_plus_4,Abundance,0.17219326073807711,1.419252426159901e-08,7.90726351717659e-08
Anaerostipes hadrus,t_plus_2,Abundance,0.16523708388281308,2.3458561636630298e-08,1.0978606845942981e-07
Veillonella sp T11011 6,t_plus_4,Abundance,0.1701551028601366,2.1076749854446792e-08,1.1208998786228522e-07
Collinsella intestinalis,t_plus_2,Abundance,0.16463270423485465,2.6421466512465162e-08,1.1746168939789765e-07
Gemmiger formicilis,t_plus_2,Abundance,-0.16450234048248177,2.7106543707207153e-08,1.1746168939789765e-07
Clostridium spiroforme,t_plus_2,Abundance,0.16296579350357485,3.659706281567329e-08,1.5292344105120625e-07
Erysipelatoclostridium ramosum,t_plus_4,Abundance,0.16808284910473026,3.135574460014933e-08,1.5950530948771615e-07
Haemophilus sp HMSC71H05,t_plus_2,Abundance,0.15775755583777296,9.915042047994132e-08,4.0002066193631495e-07
Clostridium spiroforme,t_plus_4,Abundance,0.16166312432555127,1.0407644230772318e-07,4.937230121744295e-07
Collinsella intestinalis,t_plus_4,Abundance,0.16158916445268692,1.0549637012274133e-07,4.937230121744295e-07
Veillonella parvula,t_plus_4,Abundance,0.16044469366296168,1.3000620663560732e-07,5.833135338358318e-07
Anaerostipes hadrus,t_plus_4,Abundance,0.16025322731309524,1.346108155005766e-07,5.833135338358318e-07
Roseburia hominis,t_plus_4,Abundance,-0.15548960684948868,3.1580190432335084e-07,1.3196008144940017e-06
Roseburia faecis,t_plus_4,Abundance,-0.1552129227843916,3.315784167725643e-07,1.3377474055996557e-06
Bifidobacterium bifidum,t_plus_2,Abundance,0.14988468924413986,4.209285234756421e-07,1.6416212415550043e-06
Bifidobacterium pseudocatenulatum,t_plus_4,Abundance,0.15258087342783494,5.249704880061333e-07,2.04738490322392e-06
Roseburia faecis,t_plus_2,Abundance,-0.1478829237444357,6.009389679121332e-07,2.2680599756683735e-06
Barnesiella intestinihominis,t_plus_2,Abundance,-0.14689312318519376,7.153770764629161e-07,2.5409073133764814e-06
Ruminococcus gnavus,t_plus_2,Abundance,0.14688286653022728,7.166661653113152e-07,2.5409073133764814e-06
Barnesiella intestinihominis,t_plus_4,Abundance,-0.14834795400269934,1.0815436116802797e-06,4.081954921502991e-06
Roseburia hominis,t_plus_2,Abundance,-0.14251464056743723,1.5257546946830616e-06,5.250391155232888e-06
Haemophilus sp HMSC71H05,t_plus_4,Abundance,0.14634477602368604,1.5121540302090132e-06,5.5288131729517044e-06
Parabacteroides distasonis,t_plus_2,Abundance,0.1412488859571334,1.891383717101197e-06,6.32262556859543e-06
Ruminococcus bromii,t_plus_2,Abundance,-0.1407203930478112,2.067735714062958e-06,6.720141070704613e-06
Parabacteroides distasonis,t_plus_4,Abundance,0.14428258350701045,2.125341676807545e-06,7.535302308681296e-06
Eubacterium ramulus,t_plus_2,Abundance,0.13952114408928398,2.52829402390771e-06,7.99487569722168e-06
Bifidobacterium bifidum,t_plus_4,Abundance,0.1425197470312515,2.8326381088306144e-06,9.747607609799467e-06
Ruminococcus bromii,t_plus_4,Abundance,-0.14101573347979426,3.609647780711279e-06,1.2066536866949132e-05
Bacteroides vulgatus,t_plus_2,Abundance,0.13501350266764456,5.304555307377165e-06,1.633244660429285e-05
Ruminococcus gnavus,t_plus_4,Abundance,0.1366911884048578,7.147857432241449e-06,2.3230536654784707e-05
Bacteroides massiliensis,t_plus_2,Abundance,0.12969605664268122,1.2338845454402296e-05,3.701653636320689e-05
Odoribacter splanchnicus,t_plus_2,Abundance,-0.1283781723750416,1.513464364319397e-05,4.4268832656342364e-05
Clostridium bolteae,t_plus_2,Abundance,0.12771963258561375,1.6748363805876476e-05,4.7794111348476775e-05
Parabacteroides goldsteinii,t_plus_2,Abundance,0.1273750923661784,1.7656615599308808e-05,4.918628631236025e-05
Bacteroides vulgatus,t_plus_4,Abundance,0.12986536077228622,2.016161587262336e-05,6.375429884045766e-05
Bacteroides uniformis,t_plus_2,Abundance,0.12340178931331765,3.2149477861727354e-05,8.747648627493257e-05
Intestinibacter bartlettii,t_plus_2,Abundance,0.12270173091813522,3.566370521192336e-05,9.483303431352349e-05
Parabacteroides goldsteinii,t_plus_4,Abundance,0.1251696145973408,3.9962036564588225e-05,0.0001230410073172848
Flavonifractor plautii,t_plus_2,Abundance,0.1200832402601654,5.231329129434039e-05,0.000136014557365285
Bacteroides uniformis,t_plus_4,Abundance,0.12242337506528597,5.897279827038248e-05,0.00017691839481114745
Coprococcus catus,t_plus_2,Abundance,0.11698490909401321,8.150079499758975e-05,0.00020729550031995653
Clostridium bolteae,t_plus_4,Abundance,0.12109533062559184,7.09779823238673e-05,0.00020761059829731187
Bacteroides massiliensis,t_plus_4,Abundance,0.11904801506676772,9.409777904405385e-05,0.00026852293044278785
Alistipes shahii,t_plus_2,Abundance,-0.11400557180296009,0.00012356955385827638,0.0003076093149237944
Intestinibacter bartlettii,t_plus_4,Abundance,0.11713013294852857,0.00012204974909131301,0.0003399957296115148
Alistipes indistinctus,t_plus_2,Abundance,0.11218477372283543,0.0001585829800493151,0.0003865460138702056
Odoribacter splanchnicus,t_plus_4,Abundance,-0.11556610850372889,0.00015045224300493614,0.0004093700565483146
Bacteroides cellulosilyticus,t_plus_4,Abundance,0.11530282639934898,0.00015580570691449498,0.0004143015388408162
Alistipes shahii,t_plus_4,Abundance,-0.11379978966718597,0.00018995941317207047,0.0004897984764282516
Eubacterium ramulus,t_plus_4,Abundance,0.11369559723716452,0.00019257034115982541,0.0004897984764282516
Flavonifractor plautii,t_plus_4,Abundance,0.11322289484428975,0.0002048442632678393,0.0005099314638795149
Bacteroides cellulosilyticus,t_plus_2,Abundance,0.10838614233792844,0.0002637165314608091,0.0006296904934880544
Oscillibacter sp 57 20,t_plus_2,Abundance,0.10492608063184217,0.0004133266620554088,0.0009671843892096566
Oscillibacter sp 57 20,t_plus_4,Abundance,0.10766420696841568,0.00041621520707066053,0.001014524567234735
Alistipes indistinctus,t_plus_4,Abundance,0.10644154179418554,0.00048434271005372894,0.001156491777067067
Sellimonas intestinalis,t_plus_2,Abundance,0.10333484817060168,0.0005059630627973039,0.0011607387911232267
